company_name_label,isin,label,symbol,company_name,promoter_total_pct,pct_IndividualsOrHinduUndividedFamily,num_IndividualsOrHinduUndividedFamily,pct_NonResidentIndividualsOrForeignIndividuals,num_NonResidentIndividualsOrForeignIndividuals,pct_DirectorsAndDirectorsRelatives,num_DirectorsAndDirectorsRelatives,pct_KeyManagerialPersonnel,num_KeyManagerialPersonnel,pct_RelativesOfPromotersOtherThanPromoterGroup,num_RelativesOfPromotersOtherThanPromoterGroup,pct_TrustsWhereAnyPersonBelongingToPromoterAndPromoterGroupIsisTrusteeOrBeneficiaryOrAuthorOfTrust,num_TrustsWhereAnyPersonBelongingToPromoterAndPromoterGroupIsisTrusteeOrBeneficiaryOrAuthorOfTrust,pct_CentralGovernmentOrPresidentOfIndia,num_CentralGovernmentOrPresidentOfIndia,pct_StateGovernmentsOrGovernors,num_StateGovernmentsOrGovernors,pct_ShareholdingByCompaniesOrBodiesCorporatewhereCentralOrStateGovernmentIsPromoter,num_ShareholdingByCompaniesOrBodiesCorporatewhereCentralOrStateGovernmentIsPromoter,pct_ForeignGovernment,num_ForeignGovernment,pct_CentralGovernmentOrStateGovernmentS,num_CentralGovernmentOrStateGovernmentS,pct_ForeignInstitutions,num_ForeignInstitutions,pct_ForeignPortfolioInvestor,num_ForeignPortfolioInvestor,pct_OtherForeignShareholders,num_OtherForeignShareholders,pct_OtherIndianShareholders,num_OtherIndianShareholders,pct_AssociateCompaniesOrSubsidiaries,num_AssociateCompaniesOrSubsidiaries,pct_BodiesCorporateIncludingSubsidiaries,num_BodiesCorporateIncludingSubsidiaries,pct_IndianFinancialInstitutionsOrBanks,num_IndianFinancialInstitutionsOrBanks,natural_pct_sum,natural_num_sum,govt_pct_sum,foreign_non_govt_pct_sum,hufi_num,hufi_pct
PATANJALI FOODS LTD,INE619A01035,Owner,PATANJALI,Patanjali Foods Limited,68.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.26,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SOLAR INDUSTRIES INDIA LTD,INE343H01029,Owner,SOLARINDS,Solar Industries India Limited,73.15,43.92,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.92,7.0,0.0,0.0,5.0,43.92
JINDAL STAINLESS LTD,INE220G01021,Owner,JSL,Jindal Stainless Limited,62.05,3.67,19.0,0.02,1.0,0.01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41,2.0,28.94,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6999999999999997,23.0,0.0,29.41,19.0,3.67
SUZLON ENERGY LTD,INE040H01021,Owner,SUZLON,Suzlon Energy Limited,11.73,4.43,6.0,0.0,0.0,0.0,0.0,0.01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4399999999999995,10.0,0.0,0.0,6.0,4.43
SUNDARAM FINANCE LTD,INE660A01013,Owner,SUNDARMFIN,Sundaram Finance Limited,37.21,22.58,83.0,1.95,7.0,0.05,2.0,0.03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.68,10.0,0.0,0.0,0.0,0.0,0.0,0.0,24.61,94.0,0.0,0.0,83.0,22.58
GUJARAT FLUOROCHEMICALS LTD,INE09N301011,Owner,FLUOROCHEM,Gujarat Fluorochemicals Limited,61.39,0.05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.34,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,3.0,0.0,0.0,3.0,0.05
ZF COMMERCIAL VEHICLE CONTRO,INE342J01019,Mnc,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,60.0,0.0,0.0,0.0,0.0,0.01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.0,0.0,60.0,0.0,0.0
POONAWALLA FINCORP LTD,INE511C01022,Owner,POONAWALLA,Poonawalla Fincorp Limited,63.93,0.0,0.0,0.0,0.0,0.02,2.0,0.04,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,4.0,0.0,0.0,0.0,0.0
SKF INDIA LTD,INE640A01023,Mnc,SKFINDIA,SKF India Limited,52.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,52.58,0.0,0.0
JK CEMENT LTD,INE823G01014,Owner,JKCEMENT,JK Cement Limited,45.66,5.46,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46,7.0,0.0,0.0,7.0,5.46
TIMKEN INDIA LTD,INE325A01013,Mnc,TIMKEN,Timken India Limited,51.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,51.05,0.0,0.0
