isin,company_name_owners,owners_cat,symbol,company_name_cand,owner_flag,owner_flag_ai,owner_flag_final
INE0LCL01028,AVALON TECHNOLOGIES LTD,Owner,AVALON,Avalon Technologies Limited,owner_confirmed_individual_and_director,,OWNER
INE0NDH25011,NEXUS SELECT TRUST,Professional,,,,,
INE0NNS01018,NMDC STEEL LTD,State,NSLNISP,NMDC Steel Limited,excluded_state_dominant,,NOT_OWNER
INE0V6F01027,HYUNDAI MOTOR INDIA LTD,MNC,HYUNDAI,Hyundai Motor India Limited,excluded_no_natural_no_holding,,NOT_OWNER
INE100A01010,ATUL LTD,Owner,ATUL,Atul Limited,owner_confirmed_individual_and_director,,OWNER
INE101A01026,MAHINDRA & MAHINDRA LTD,Owner,M&M,Mahindra & Mahindra Limited,owner_confirmed_individual_and_director,,OWNER
INE101D01020,GRANULES INDIA LTD,Owner,GRANULES,Granules India Limited,owner_confirmed_individual_and_director,,OWNER
INE102B01014,CHOICE INTERNATIONAL LTD,Owner,CHOICEIN,Choice International Limited,owner_confirmed_individual_and_director,,OWNER
INE102D01028,GODREJ CONSUMER PRODUCTS LTD,Owner,GODREJCP,Godrej Consumer Products Limited,owner_confirmed_individual_and_director,,OWNER
INE103A01014,MANGALORE REFINERY & PETRO,State,MRPL,Mangalore Refinery and Petrochemicals Limited,owner_confirmed_director_only,,OWNER
INE109A01011,SHIPPING CORP OF INDIA LTD,State,SCI,Shipping Corporation Of India Limited,excluded_state_dominant,,NOT_OWNER
INE111A01025,CONTAINER CORP OF INDIA LTD,State,CONCOR,Container Corporation of India Limited,excluded_state_dominant,,NOT_OWNER
INE111Q01021,PDS LTD,Owner,PDSL,PDS Limited,owner_probable_nri_family,ai_owner,OWNER
INE112L01020,METROPOLIS HEALTHCARE LTD,Owner,METROPOLIS,Metropolis Healthcare Limited,owner_confirmed_individual_and_director,,OWNER
INE113A01013,GUJARAT NARMADA VALLEY FERT,State,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,ambiguous_holding_indian,ai_state,NOT_OWNER
INE114A01011,STEEL AUTHORITY OF INDIA,State,SAIL,Steel Authority of India Limited,excluded_state_dominant,,NOT_OWNER
