symbol,company_name,isin,series,listing_date,face_value,industry,sector,basic_industry,macro,is_fno,last_price,previous_close,year_high,year_low,ffmc,pct_change_30d,pct_change_365d,fetched_at
KANDARP,,,EQ,,,SM,,,,,139.0,136.25,169.0,70.3,,,,2026-04-14T01:22:41.013948+00:00
UCL,,,EQ,,,ST,,,,,98.8,96.9,98.8,38.0,,,,2026-04-14T01:22:41.013948+00:00
SAVY,,,EQ,,,SM,,,,,138.1,135.45,191.0,115.5,,,,2026-04-14T01:22:41.013948+00:00
KALANA,,,EQ,,,ST,,,,,24.8,24.35,49.0,15.1,,,,2026-04-14T01:22:41.013948+00:00
VINSYS,,,EQ,,,SM,,,,,341.0,334.85,475.0,215.0,,,,2026-04-14T01:22:41.013948+00:00
TRUST,,,EQ,,,SM,,,,,40.8,40.1,94.1,27.9,,,,2026-04-14T01:22:41.013948+00:00
GRCL,,,EQ,,,SM,,,,,399.85,393.0,525.25,306.65,,,,2026-04-14T01:22:41.013948+00:00
FALCONTECH,,,EQ,,,SM,,,,,11.85,11.65,23.38,9.93,,,,2026-04-14T01:22:41.013948+00:00
ANONDITA,,,EQ,,,SM,,,,,834.0,820.0,1037.45,261.75,,,,2026-04-14T01:22:41.013948+00:00
SHIVASHRIT,,,EQ,,,SM,,,,,125.9,123.8,148.5,96.0,,,,2026-04-14T01:22:41.013948+00:00
ECOLINE,,,EQ,,,SM,,,,,122.0,120.0,143.9,115.0,,,,2026-04-14T01:22:41.013948+00:00
PARAMOUNT,,,EQ,,,SM,,,,,39.9,39.25,73.9,33.5,,,,2026-04-14T01:22:41.013948+00:00
SPEB,,,EQ,,,SM,,,,,55.9,55.0,60.0,46.55,,,,2026-04-14T01:22:41.013948+00:00
RNPL,,,EQ,,,SM,,,,,136.95,134.85,158.0,69.0,,,,2026-04-14T01:22:41.013948+00:00
EMKAYTOOLS,,,EQ,,,SM,,,,,105.3,103.7,442.35,83.1,,,,2026-04-14T01:22:41.013948+00:00
VEEKAYEM,,,EQ,,,SM,,,,,118.9,117.1,318.0,79.8,,,,2026-04-14T01:22:41.013948+00:00
BHADORA,,,EQ,,,SM,,,,,67.0,66.0,128.85,49.5,,,,2026-04-14T01:22:41.013948+00:00
YASHOPTICS,,,EQ,,,SM,,,,,117.95,116.25,153.5,75.1,,,,2026-04-14T01:22:41.013948+00:00
ZTECH,,,EQ,,,SM,,,,,554.2,546.2,701.0,460.0,,,,2026-04-14T01:22:41.013948+00:00
ROXHITECH,,,EQ,,,SM,,,,,36.0,35.5,57.45,22.95,,,,2026-04-14T01:22:41.013948+00:00
SILKY,,,EQ,,,SM,,,,,144.0,142.0,171.0,103.0,,,,2026-04-14T01:22:41.013948+00:00
CMNL,,,EQ,,,SM,,,,,105.45,104.0,183.9,90.0,,,,2026-04-14T01:22:41.013948+00:00
VOLERCAR,,,EQ,,,SM,,,,,259.0,255.45,276.05,81.45,,,,2026-04-14T01:22:41.013948+00:00
SHETHJI,,,EQ,,,SM,,,,,122.75,121.3,136.0,95.5,,,,2026-04-14T01:22:41.013948+00:00
DIVINEHIRA,,,EQ,,,ST,,,,,302.0,298.45,311.95,43.0,,,,2026-04-14T01:22:41.013948+00:00
E2ERAIL,,,EQ,,,SM,,,,,184.45,182.3,347.1,171.0,,,,2026-04-14T01:22:41.013948+00:00
TSC,,,EQ,,,SM,,,,,36.2,35.8,79.3,27.5,,,,2026-04-14T01:22:41.013948+00:00
SAAKSHI,,,EQ,,,SM,,,,,195.0,193.0,217.7,118.0,,,,2026-04-14T01:22:41.013948+00:00
BAGDIGITAL,,,EQ,,,SM,,,,,110.6,109.5,139.0,95.75,,,,2026-04-14T01:22:41.013948+00:00
IEML,,,EQ,,,SM,,,,,82.9,82.1,173.57,58.45,,,,2026-04-14T01:22:41.013948+00:00
ARHAM,,,EQ,,,SM,,,,,141.45,140.15,161.0,70.8,,,,2026-04-14T01:22:41.013948+00:00
ENSER,,,EQ,,,SM,,,,,16.5,16.35,23.25,7.8,,,,2026-04-14T01:22:41.013948+00:00
