index_name,symbol,priority,fetched_at
NIFTY 200,TATACOMM,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BAJAJHLDNG,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TATACAP,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,PIIND,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,CONCOR,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TIINDIA,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,ICICIBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,RELIANCE,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,HDFCBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,ATHERENERG,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,BHARTIARTL,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,BSE,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,LT,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,SBIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,MARUTI,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,ADANIPOWER,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,ZYDUSWELL,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,OLAELEC,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,INFY,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,MCX,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,BHEL,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,AXISBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,KOTAKBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,WAAREEENER,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,ETERNAL,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,TATACHEM,,2026-04-14T01:22:41.013948+00:00
NIFTY 500,M&M,,2026-04-14T01:22:41.013948+00:00
