symbol,isin,company_name,is_owner_company,owner_family,owner_flag,owner_flag_final_hybrid,yaml_classification,promoter_total_pct,natural_pct_sum,in_rev1,rev1_category,is_nifty50,is_nifty100,is_nifty200,is_nifty500,is_nifty_total_mkt,nse_fetch_status
DEVYANI,INE872J01023,Devyani International Limited,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,61.37,4.71,True,Owner,False,False,False,True,True,ok
GALLANTT,INE297H01019,Gallantt Ispat Limited,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,69.83,68.95,False,,False,False,False,True,True,ok
JINDALSAW,INE324A01032,Jindal Saw Limited,True,Jindal,owner_confirmed_individual,OWNER,OWNER,63.25,1.18,True,Owner,False,False,False,True,True,ok
JINDALSTEL,INE749A01030,JINDAL STEEL LIMITED,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,62.69,2.1199999999999997,True,Owner,False,True,True,True,True,ok
JSL,INE220G01021,Jindal Stainless Limited,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,62.05,3.7,True,Owner,False,False,False,True,True,ok
JSWCEMENT,INE718I01012,JSW Cement Limited,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,72.33,0.76,False,,False,False,False,True,True,ok
JSWENERGY,INE121E01018,JSW Energy Limited,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,69.27,4.129999999999999,True,Owner,False,False,True,True,True,ok
JSWINFRA,INE880J01026,JSW Infrastructure Limited,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,83.62,0.21,False,,False,False,False,True,True,ok
JSWSTEEL,INE019A01038,JSW Steel Limited,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,45.32,0.61,True,Owner,True,True,True,True,True,ok
MAHSEAMLES,INE271B01025,Maharashtra Seamless Limited,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,70.28,5.42,True,Owner,False,False,False,False,True,ok
SHAREINDIA,INE932X01026,Share India Securities Limited,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,48.62,45.13999999999999,False,,False,False,False,False,True,ok
SIGNATURE,INE903U01023,Signatureglobal (India) Limited,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,69.63,52.69,False,,False,False,False,True,True,ok
VBL,INE200M01039,Varun Beverages Limited,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,59.44,34.36,True,Owner,False,True,True,True,True,ok
VIKRAMSOLR,INE078V01014,Vikram Solar Limited,True,Jindal,owner_confirmed_individual_and_director,OWNER,OWNER,63.01,5.069999999999999,False,,False,False,False,False,True,ok
ALIVUS,INE03Q201024,Alivus Life Sciences Limited,True,Karnavati / Searles,owner_confirmed_director_only,OWNER,OWNER,74.91,0.09,True,Owner,False,False,False,False,True,ok
NUVOCO,INE118D01016,Nuvoco Vistas Corporation Limited,True,Karnavati / Searles,owner_confirmed_individual,OWNER,OWNER,72.02,11.86,True,Owner,False,False,False,True,True,ok
SPANDANA,INE572J01011,Spandana Sphoorty Financial Limited,True,Kedaara Capital (PE-backed),ambiguous_holding_foreign,OWNER,OWNER,48.16,0.0,True,Owner,False,False,False,False,False,ok
VMM,INE01EA01019,Vishal Mega Mart Limited,True,Kedaara Capital (PE-backed),owner_confirmed_director_only,OWNER,OWNER,40.12,0.44,True,Owner,False,False,True,True,True,ok
AWL,INE699H01024,AWL Agri Business Limited,True,Kuok (Wilmar),excluded_no_natural_no_holding,OWNER,OWNER,56.94,0.0,True,Owner,False,False,False,True,True,ok
FIEMIND,INE737H01014,Fiem Industries Limited,True,Lodha,owner_confirmed_individual_and_director,OWNER,OWNER,54.52,53.87,False,,False,False,False,False,True,ok
LODHA,INE670K01029,Lodha Developers Limited,True,Lodha,owner_confirmed_director_only,OWNER,OWNER,71.85,0.03,True,Owner,False,True,True,True,True,ok
ASAHIINDIA,INE439A01020,Asahi India Glass Limited,True,Mahindra,owner_confirmed_individual,OWNER,OWNER,51.57,16.6,True,Owner,False,False,False,True,True,ok
M&M,INE101A01026,Mahindra & Mahindra Limited,True,Mahindra,owner_confirmed_individual_and_director,OWNER,OWNER,18.44,0.63,True,Owner,True,True,True,True,True,ok
M&MFIN,INE774D01024,Mahindra & Mahindra Financial Services Limited,True,Mahindra,owner_confirmed_director_only,OWNER,OWNER,52.49,0.0,True,Owner,False,False,True,True,True,ok
MAHLIFE,INE813A01018,,True,Mahindra,owner_confirmed_director_only,OWNER,OWNER,52.41,0.02,True,Owner,False,False,False,False,False,ok
SMLMAH,INE294B01019,SML Mahindra Limited,True,Mahindra,ambiguous_holding_indian,OWNER,OWNER,58.97,0.0,False,,False,False,False,False,True,ok
