item_id,meeting_date,meeting_title,doc_type,doc_date,filename,text_url,pdf_url,release_date
22564,2000-03-21,"Meeting, March 21, 2000",beige_book,2000-03-08,fomc20000321beige20000308.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc20000321beige20000308.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc20000321beige20000308.pdf,2000-03-08
22563,2000-05-16,"Meeting, May 16, 2000",beige_book,2000-05-03,fomc20000516beige20000503.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc20000516beige20000503.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc20000516beige20000503.pdf,2000-05-03
23199,2000-06-27,"Meeting, June 27-28, 2000",beige_book,2000-06-14,fomc20000628beige20000614.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc20000628beige20000614.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc20000628beige20000614.pdf,2000-06-14
23200,2000-08-22,"Meeting, August 22, 2000",beige_book,2000-08-09,fomc20000822beige20000809.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc20000822beige20000809.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc20000822beige20000809.pdf,2000-08-09
23241,2000-10-03,"Meeting, October 3, 2000",beige_book,2000-09-20,fomc20001003beige20000920.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc20001003beige20000920.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc20001003beige20000920.pdf,2000-09-20
23201,2000-11-15,"Meeting, November 15, 2000",beige_book,2000-11-01,fomc20001115beige20001101.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc20001115beige20001101.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc20001115beige20001101.pdf,2000-11-01
23208,2000-12-19,"Meeting, December 19, 2000",beige_book,2000-12-06,fomc20001219beige20001206.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc20001219beige20001206.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc20001219beige20001206.pdf,2000-12-06
23231,2001-01-30,"Meeting, January 30-31, 2001",beige_book,2001-01-17,fomc20010131beige20010117.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc20010131beige20010117.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc20010131beige20010117.pdf,2001-01-17
22556,2001-03-20,"Meeting, March 20, 2001",beige_book,2001-03-07,fomc20010320beige20010307.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc20010320beige20010307.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc20010320beige20010307.pdf,2001-03-07
23244,2001-05-15,"Meeting, May 15, 2001",beige_book,2001-05-02,fomc20010515beige20010502.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc20010515beige20010502.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc20010515beige20010502.pdf,2001-05-02
23245,2001-06-26,"Meeting, June 26-27, 2001",beige_book,2001-06-13,fomc20010627beige20010613.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc20010627beige20010613.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc20010627beige20010613.pdf,2001-06-13
